철도운영기관명,선명,역명,역간거리(km)
코레일,1호선,지행,5.6
코레일,1호선,도봉,1.3
코레일,1호선,창동,1
코레일,1호선,월계,1.1
코레일,1호선,외대앞,0.8
코레일,1호선,대방,1.5
코레일,1호선,신길,
코레일,1호선,덕정,2.9
코레일,1호선,구일,1.4
코레일,1호선,온수,1.9
코레일,1호선,역곡,1.3
코레일,1호선,송내,1
코레일,1호선,부평,1.5
코레일,1호선,성균관대,2.9
코레일,1호선,소요산,2.5
코레일,1호선,동두천,1.6
코레일,1호선,보산,1.4
코레일,1호선,동두천중앙,1
코레일,1호선,덕계,5.3
코레일,1호선,녹양,1.3
코레일,1호선,가능,1.2
코레일,1호선,의정부,1.6
코레일,1호선,회룡,1.4
코레일,1호선,망월사,2.3
코레일,1호선,도봉산,1.2
코레일,1호선,방학,1.7
코레일,1호선,녹천,1.4
코레일,1호선,석계,1.4
코레일,1호선,신이문,0.8
코레일,1호선,회기,1.4
코레일,1호선,남영,1.7
코레일,1호선,용산,1.5
코레일,1호선,노량진,1.8
코레일,1호선,영등포,1
코레일,1호선,신도림,1.5
코레일,1호선,개봉,1
코레일,1호선,오류동,1.3
코레일,1호선,소사,1.5
코레일,1호선,명학,2.2
코레일,1호선,부천,1.1
코레일,1호선,부개,1.2
코레일,1호선,백운,1.7
코레일,1호선,동암,1.5
코레일,1호선,주안,1.2
코레일,1호선,도화,1
코레일,1호선,제물포,1
코레일,1호선,도원,1.4
코레일,1호선,동인천,1.2
코레일,1호선,인천,1.9
코레일,1호선,세류,2.9
코레일,1호선,간석,1.2
코레일,1호선,중동,1.7
코레일,1호선,광운대,1.1
코레일,1호선,양주,1.6
코레일,1호선,광명,4.8
코레일,1호선,구로,1.1
코레일,1호선,가산디지털단지,1.1
코레일,1호선,독산,2
코레일,1호선,금천구청,1.2
코레일,1호선,석수,1.9
코레일,1호선,관악,1.9
코레일,1호선,안양,2.4
코레일,1호선,금정,1.4
코레일,1호선,군포,2.2
코레일,1호선,당정,1.6
코레일,1호선,의왕,2.6
코레일,1호선,화서,2.6
코레일,1호선,수원,2.1
코레일,1호선,병점,4.3
코레일,1호선,서동탄,2.2
코레일,1호선,세마,2.4
코레일,1호선,오산대,2.7
코레일,1호선,오산,2.7
코레일,1호선,진위,4
코레일,1호선,송탄,3.8
코레일,1호선,서정리,2.2
코레일,1호선,평택지제,4.8
코레일,1호선,평택,3.7
코레일,1호선,성환,9.4
코레일,1호선,직산,5.4
코레일,1호선,두정,5.4
코레일,1호선,천안,3
코레일,1호선,봉명,1.3
코레일,1호선,쌍용(나사렛대),1.6
코레일,1호선,아산,1.6
코레일,1호선,배방,3.1
코레일,1호선,온양온천,4.9
코레일,1호선,신창(순천향대),5.1
코레일,1호선,탕정,1.8
서울교통공사,1호선,서울역,1.1
서울교통공사,1호선,시청,1
서울교통공사,1호선,종각,0.8
서울교통공사,1호선,종로3가,0.9
서울교통공사,1호선,종로5가,0.8
서울교통공사,1호선,동대문,0.6
서울교통공사,1호선,신설동,0.9
서울교통공사,1호선,제기동,1
서울교통공사,1호선,청량리(서울시립대입구),0
서울교통공사,1호선,동묘앞,0.7
